Model ;SP500; Bovespa; OMX
ARMA-GJRGARCH ; 0.0008; 0.0015; 0.0019
LSTM; 0.0009; 0.0015; 0.0019
Deep LSTM; 0.0009; 0.0015; 0.0019

